rid,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q1,Q2,Q3,Q4,Q64
e77e9b47-7f2c-413c-af33-dca2e40dfcb4,40,1.0,United States of America,Minnesota,United States of America,Minnesota,Other,Always,0,100-500,1.0,,e77e9b47-7f2c-413c-af33-dca2e40dfcb4
66ec01fb-775b-4987-8b3d-d47a86df9ab0,46,0.0,Netherlands,,Netherlands,,Supervisor/Team Lead/Other,Never,0,More than 1000,1.0,,66ec01fb-775b-4987-8b3d-d47a86df9ab0
0e1ca17a-d836-4403-b5db-87c7a4b1a15d,28,1.0,Lithuania,,Lithuania,,DevOps/SysAdmin/Back-end Developer,Sometimes,1,,,,0e1ca17a-d836-4403-b5db-87c7a4b1a15d
77fe104a-0175-4683-8e68-40465ce69e3d,41,1.0,United States of America,Georgia,United States of America,Georgia,Back-end Developer,Never,0,More than 1000,0.0,1.0,77fe104a-0175-4683-8e68-40465ce69e3d
467cdd1a-003e-4652-b812-4d9cc80115b1,33,1.0,United States of America,Kentucky,United States of America,Kentucky,Supervisor/Team Lead/Back-end Developer/Front-end Developer,Sometimes,0,6-25,1.0,,467cdd1a-003e-4652-b812-4d9cc80115b1
cf18316e-6bb6-4df9-bbea-4675beac211d,32,1.0,United States of America,West Virginia,United States of America,Ohio,Other,Sometimes,1,,,,cf18316e-6bb6-4df9-bbea-4675beac211d
d410a484-2524-49a2-83d1-b0a3761cf4cc,45,1.0,United States of America,Virginia,United States of America,Virginia,DevOps/SysAdmin/Back-end Developer/Front-end Developer,Sometimes,0,6-25,1.0,,d410a484-2524-49a2-83d1-b0a3761cf4cc
cc3c0fad-9a84-49f0-aff7-341dffcf9054,43,1.0,United Kingdom,,United Kingdom,,Other,Sometimes,1,,,,cc3c0fad-9a84-49f0-aff7-341dffcf9054
8c0816b6-00f7-45ff-89a7-a9d2e71ebf7a,37,0.0,United States of America,California,United States of America,California,Supervisor/Team Lead,Always,0,6-25,1.0,,8c0816b6-00f7-45ff-89a7-a9d2e71ebf7a
40dcaa42-f4a6-43ca-bb54-2cc5396f284e,37,1.0,Australia,,Australia,,Executive Leadership,Never,0,26-100,1.0,,40dcaa42-f4a6-43ca-bb54-2cc5396f284e
ec3a46d4-b1d5-4c1c-ae2b-69f68c4df373,27,1.0,United States of America,California,United States of America,California,Front-end Developer/Back-end Developer/Executive Leadership,Sometimes,0,6-25,1.0,,ec3a46d4-b1d5-4c1c-ae2b-69f68c4df373
92f6f244-1157-4e79-9a36-03c3a4d60967,31,1.0,Netherlands,,Netherlands,,Supervisor/Team Lead/Back-end Developer/Front-end Developer/One-person shop,Sometimes,1,,,,92f6f244-1157-4e79-9a36-03c3a4d60967
857189d0-cb24-4096-84ee-b9bb4fce737b,36,1.0,United States of America,California,United States of America,California,Supervisor/Team Lead/DevOps/SysAdmin,Sometimes,0,More than 1000,1.0,,857189d0-cb24-4096-84ee-b9bb4fce737b
1846966a-6169-4642-ac11-e9faafcf68ad,34,1.0,United States of America,Florida,United States of America,Florida,DevOps/SysAdmin/Back-end Developer,Always,0,500-1000,0.0,1.0,1846966a-6169-4642-ac11-e9faafcf68ad
76d66ca1-2aa3-4cc9-92fe-34321c6f54db,31,0.0,United States of America,Massachusetts,United States of America,Massachusetts,Other,Sometimes,0,More than 1000,0.0,0.0,76d66ca1-2aa3-4cc9-92fe-34321c6f54db
1273a2a0-c9b0-4d37-8be7-ff879163bd34,30,1.0,United States of America,Oregon,United States of America,Oregon,Back-end Developer/Front-end Developer,Never,0,26-100,1.0,,1273a2a0-c9b0-4d37-8be7-ff879163bd34
2b25104d-d2fd-4b83-a420-4f20565400e8,32,1.0,Canada,,Canada,,Supervisor/Team Lead,Never,0,100-500,0.0,1.0,2b25104d-d2fd-4b83-a420-4f20565400e8
9f73ae8b-b518-4546-a7bc-d183ab3b7a8c,40,0.0,United States of America,North Dakota,United States of America,North Dakota,Back-end Developer/Front-end Developer,Sometimes,0,6-25,0.0,1.0,9f73ae8b-b518-4546-a7bc-d183ab3b7a8c
36b7d3d1-175e-4552-a647-8ae78a07e23f,40,1.0,United States of America,Tennessee,United States of America,Tennessee,Back-end Developer,Sometimes,0,100-500,0.0,1.0,36b7d3d1-175e-4552-a647-8ae78a07e23f
acb20682-5aab-4706-9a58-0f700d2a90e1,41,1.0,France,,France,,Back-end Developer,Sometimes,0,More than 1000,1.0,,acb20682-5aab-4706-9a58-0f700d2a90e1
f59a0bdf-66ec-48ae-a462-93620a120366,27,1.0,United Kingdom,,United Kingdom,,DevOps/SysAdmin,Never,0,26-100,0.0,1.0,f59a0bdf-66ec-48ae-a462-93620a120366
3ab92e01-b5cb-493d-b830-ab20fc96f08d,30,1.0,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Sometimes,0,26-100,1.0,,3ab92e01-b5cb-493d-b830-ab20fc96f08d
780ae08f-a3ff-40bc-8047-0c1cdbcef434,29,1.0,Venezuela,,Venezuela,,Front-end Developer/Back-end Developer,Always,1,,,,780ae08f-a3ff-40bc-8047-0c1cdbcef434
f3459c1a-5bf4-4105-9b31-0d075e21e84b,38,1.0,United Kingdom,,United Kingdom,,Other,Sometimes,1,,,,f3459c1a-5bf4-4105-9b31-0d075e21e84b
a3c6efa9-6f4c-4c14-8257-25668044fffa,35,1.0,Netherlands,,Netherlands,,Supervisor/Team Lead/Back-end Developer/One-person shop,Sometimes,1,,,,a3c6efa9-6f4c-4c14-8257-25668044fffa
731b981a-8b93-4961-a5c7-482b77cf7ae7,35,0.0,United States of America,Indiana,United States of America,Indiana,Supervisor/Team Lead,Never,0,6-25,0.0,0.0,731b981a-8b93-4961-a5c7-482b77cf7ae7
d8d89d91-c50c-4a44-a2b0-9ae40124e473,29,1.0,United States of America,Texas,United States of America,Texas,Back-end Developer,Always,0,More than 1000,1.0,,d8d89d91-c50c-4a44-a2b0-9ae40124e473
5d66ff64-9b27-4f6d-9b71-4899386d5621,28,1.0,United States of America,New York,United States of America,New York,Front-end Developer,Never,0,100-500,1.0,,5d66ff64-9b27-4f6d-9b71-4899386d5621
ef9a0761-bfc7-4f9b-a592-c8d9865d89b4,27,1.0,Netherlands,,Netherlands,,Back-end Developer,Sometimes,0,26-100,0.0,1.0,ef9a0761-bfc7-4f9b-a592-c8d9865d89b4
b83ab160-0a73-4dc3-add4-97be7e7ee320,39,1.0,Poland,,Poland,,Back-end Developer,Sometimes,1,,,,b83ab160-0a73-4dc3-add4-97be7e7ee320
bdd38590-f8c4-4d7d-b249-93fc07013ffc,28,1.0,Belgium,,Belgium,,Support,Sometimes,0,100-500,1.0,,bdd38590-f8c4-4d7d-b249-93fc07013ffc
7dd89f7d-2b9b-40a2-9ee9-85057eb3be45,46,1.0,United States of America,Texas,United States of America,Texas,Executive Leadership/Supervisor/Team Lead/Back-end Developer,Sometimes,0,6-25,0.0,1.0,7dd89f7d-2b9b-40a2-9ee9-85057eb3be45
63a77b52-031b-4be3-853c-120e2a4adbd0,40,1.0,Netherlands,,Netherlands,,Front-end Developer/Back-end Developer,Sometimes,0,1-5,1.0,,63a77b52-031b-4be3-853c-120e2a4adbd0
3a04da8c-45b0-4054-97f3-9b238e8a1735,37,1.0,United States of America,Tennessee,United States of America,Tennessee,Supervisor/Team Lead/DevOps/SysAdmin/Back-end Developer,Always,0,26-100,1.0,,3a04da8c-45b0-4054-97f3-9b238e8a1735
55378b35-ab81-478f-b125-0ccba87f0ded,41,1.0,Netherlands,,Netherlands,,Front-end Developer/Back-end Developer/DevOps/SysAdmin,Sometimes,0,26-100,1.0,,55378b35-ab81-478f-b125-0ccba87f0ded
718e6ccd-fbcd-4281-9b2e-e8260aaabf1e,19,1.0,France,,France,,Back-end Developer,Never,1,,,,718e6ccd-fbcd-4281-9b2e-e8260aaabf1e
da736a5f-d7f0-4ec8-92bf-71099bc0d65f,38,0.0,Netherlands,,Netherlands,,Front-end Developer,Never,0,6-25,1.0,,da736a5f-d7f0-4ec8-92bf-71099bc0d65f
630db0d0-21bb-4acc-bcea-79f1a929da64,33,1.0,United States of America,Maryland,United States of America,District of Columbia,Front-end Developer,Sometimes,0,26-100,1.0,,630db0d0-21bb-4acc-bcea-79f1a929da64
7ba8bc8d-f003-4b6e-9417-78f6cf18ecf0,33,1.0,United States of America,Wisconsin,United States of America,Tennessee,Supervisor/Team Lead/Dev Evangelist/Advocate/Back-end Developer,Always,0,26-100,1.0,,7ba8bc8d-f003-4b6e-9417-78f6cf18ecf0
0afc692a-f8d2-4fd7-b408-9440cc278feb,21,1.0,United Kingdom,,United Kingdom,,Back-end Developer/DevOps/SysAdmin,Never,0,1-5,1.0,,0afc692a-f8d2-4fd7-b408-9440cc278feb
9d84bc7e-1b45-4b5b-a593-adf9d8c6356f,36,1.0,Brazil,,Brazil,,Back-end Developer,Never,0,1-5,1.0,,9d84bc7e-1b45-4b5b-a593-adf9d8c6356f
d30939e6-f9fe-4a0f-a5f9-90d12c84e010,39,1.0,Canada,,Canada,,Back-end Developer,Sometimes,1,,,,d30939e6-f9fe-4a0f-a5f9-90d12c84e010
af992af6-2d74-4f78-8eea-3628e084303c,35,1.0,United States of America,Illinois,United States of America,Illinois,Dev Evangelist/Advocate/Back-end Developer,Sometimes,0,26-100,1.0,,af992af6-2d74-4f78-8eea-3628e084303c
7c8fb169-5f0b-49f5-a9c1-5ad5c6b80e23,36,1.0,France,,France,,One-person shop/Back-end Developer,Sometimes,1,,,,7c8fb169-5f0b-49f5-a9c1-5ad5c6b80e23
d71da5ae-9e99-438f-b64c-711104a0b2ee,45,1.0,United States of America,Michigan,United States of America,Michigan,DevOps/SysAdmin/Back-end Developer/Front-end Developer,Never,0,6-25,1.0,,d71da5ae-9e99-438f-b64c-711104a0b2ee
8334c8b6-0081-4da3-be99-b0fbe1629261,41,1.0,Canada,,Canada,,Back-end Developer/Supervisor/Team Lead,Never,0,26-100,1.0,,8334c8b6-0081-4da3-be99-b0fbe1629261
3d2fb2d1-c7ad-4523-a2b4-ef7c33214899,35,1.0,United Kingdom,,United Kingdom,,Back-end Developer,Sometimes,0,26-100,1.0,,3d2fb2d1-c7ad-4523-a2b4-ef7c33214899
125e2246-bcab-43f4-a6dc-bafe0333fd55,30,1.0,United States of America,Texas,United States of America,Texas,Front-end Developer/Back-end Developer/Sales/Executive Leadership,Sometimes,1,,,,125e2246-bcab-43f4-a6dc-bafe0333fd55
d62b7e7c-b712-456b-a299-0fb5ee2d01e6,24,0.0,United States of America,Illinois,United States of America,Illinois,Back-end Developer,Sometimes,0,26-100,1.0,,d62b7e7c-b712-456b-a299-0fb5ee2d01e6
2d946ab6-eb0b-4f0c-97d8-ca8dab267d8c,33,1.0,Brazil,,Brazil,,Other,Never,0,100-500,0.0,1.0,2d946ab6-eb0b-4f0c-97d8-ca8dab267d8c
e6cb14d5-5078-4f62-9e2e-0e1af24b5189,35,1.0,United States of America,Washington,United States of America,Washington,Back-end Developer,Sometimes,0,More than 1000,1.0,,e6cb14d5-5078-4f62-9e2e-0e1af24b5189
3caf7b33-e49a-414a-98f2-cad0ebbbce1c,26,1.0,United Kingdom,,United Kingdom,,Supervisor/Team Lead,Sometimes,0,6-25,1.0,,3caf7b33-e49a-414a-98f2-cad0ebbbce1c
ba854bde-ca5b-4fcd-9b06-f53babc29a4c,17,1.0,Brazil,,Brazil,,Front-end Developer,Always,0,6-25,1.0,,ba854bde-ca5b-4fcd-9b06-f53babc29a4c
842baac5-4567-45d0-bc7e-ee0d3389c0f4,29,0.0,United States of America,North Dakota,United States of America,North Dakota,Front-end Developer,Sometimes,0,6-25,0.0,1.0,842baac5-4567-45d0-bc7e-ee0d3389c0f4
9a9b8cbe-cb0b-4622-a37f-212cbd65b686,26,1.0,United States of America,California,United States of America,California,Back-end Developer,Sometimes,0,100-500,1.0,,9a9b8cbe-cb0b-4622-a37f-212cbd65b686
9ae7bf29-6671-405c-a372-aeade3109495,36,0.0,United States of America,Vermont,United States of America,Vermont,Front-end Developer,Always,0,26-100,1.0,,9ae7bf29-6671-405c-a372-aeade3109495
58c40759-8b65-4992-b954-957d0ce75fa7,46,1.0,United States of America,Illinois,United States of America,Illinois,Back-end Developer/DevOps/SysAdmin,Sometimes,0,26-100,1.0,,58c40759-8b65-4992-b954-957d0ce75fa7
327f2063-8ffb-46f1-a63d-ebb241f9b0af,39,1.0,Netherlands,,Netherlands,,One-person shop/Back-end Developer/Sales/Support/DevOps/SysAdmin/Dev Evangelist/Advocate/Supervisor/Team Lead/Executive Leadership/Other,Sometimes,1,,,,327f2063-8ffb-46f1-a63d-ebb241f9b0af
47130617-b4c3-497b-8756-eceea2a74128,28,0.0,United States of America,California,United States of America,California,Back-end Developer,Sometimes,0,100-500,1.0,,47130617-b4c3-497b-8756-eceea2a74128
cf8d8a8a-df7f-4a53-b3ac-1cc2608cdc13,40,1.0,United States of America,Washington,United States of America,Washington,DevOps/SysAdmin,Sometimes,0,500-1000,1.0,,cf8d8a8a-df7f-4a53-b3ac-1cc2608cdc13
ad6f67b8-5231-41d4-83e4-6c214bbf1de7,23,1.0,United States of America,Pennsylvania,United States of America,Pennsylvania,Back-end Developer,Sometimes,0,100-500,1.0,,ad6f67b8-5231-41d4-83e4-6c214bbf1de7
d782fa03-9291-4307-9fc3-902feb951e15,30,1.0,United States of America,North Carolina,United States of America,North Carolina,Back-end Developer,Sometimes,0,6-25,1.0,,d782fa03-9291-4307-9fc3-902feb951e15
430e83d8-a88c-43ea-94a8-89cc53680ccb,28,0.0,United States of America,Illinois,United States of America,Illinois,Designer,Sometimes,0,26-100,1.0,,430e83d8-a88c-43ea-94a8-89cc53680ccb
6f9cd6a4-66fd-49b6-adc7-7f26af259a0a,27,1.0,Netherlands,,Netherlands,,Back-end Developer/DevOps/SysAdmin/Dev Evangelist/Advocate/Supervisor/Team Lead,Never,0,26-100,1.0,,6f9cd6a4-66fd-49b6-adc7-7f26af259a0a
5ab2465e-4e33-4f30-b768-19aac232c3da,31,1.0,United States of America,Indiana,United States of America,Indiana,One-person shop/Front-end Developer/Back-end Developer,Always,1,,,,5ab2465e-4e33-4f30-b768-19aac232c3da
4f5fba4c-073e-4d29-b998-411a59bcad6a,39,0.0,United States of America,North Carolina,United States of America,North Carolina,Back-end Developer,Never,0,26-100,1.0,,4f5fba4c-073e-4d29-b998-411a59bcad6a
af24dfa7-9025-49d8-b6f5-b0ea7db43466,34,0.0,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Always,0,More than 1000,1.0,,af24dfa7-9025-49d8-b6f5-b0ea7db43466
da4c2fc3-60f5-4e59-96d2-6deec5bc8060,30,1.0,United States of America,North Carolina,United States of America,North Carolina,Front-end Developer/Back-end Developer/DevOps/SysAdmin/Supervisor/Team Lead,Sometimes,0,6-25,1.0,,da4c2fc3-60f5-4e59-96d2-6deec5bc8060
679ddce2-0409-49ae-9550-1698e6cb66bc,30,1.0,Denmark,,Denmark,,Front-end Developer/Back-end Developer/Executive Leadership,Never,1,,,,679ddce2-0409-49ae-9550-1698e6cb66bc
16e0225f-e797-4338-bb55-634f1e314994,31,1.0,United States of America,Indiana,United States of America,Missouri,Designer,Sometimes,0,100-500,0.0,0.0,16e0225f-e797-4338-bb55-634f1e314994
e2987493-ee68-473e-9477-3b2c3e2036fe,30,1.0,United States of America,California,United States of America,California,Back-end Developer,Always,0,26-100,1.0,,e2987493-ee68-473e-9477-3b2c3e2036fe
c2cd59d6-2ada-473c-899d-4951e20c5715,32,1.0,United States of America,Kansas,United States of America,Kansas,Front-end Developer,Sometimes,0,More than 1000,1.0,,c2cd59d6-2ada-473c-899d-4951e20c5715
652b220c-ae1f-41e5-8325-6e2f0c6020f4,22,1.0,Czech Republic,,Czech Republic,,Back-end Developer/Front-end Developer,Sometimes,1,,,,652b220c-ae1f-41e5-8325-6e2f0c6020f4
8d4ca7de-57a5-443d-9dc0-a877bcc27b24,37,0.0,Belgium,,Belgium,,Back-end Developer,Always,1,,,,8d4ca7de-57a5-443d-9dc0-a877bcc27b24
51f20a9c-fd55-474d-8d88-5340ec3e98f9,51,1.0,United States of America,Indiana,United States of America,Indiana,Executive Leadership/Supervisor/Team Lead,Sometimes,0,26-100,0.0,1.0,51f20a9c-fd55-474d-8d88-5340ec3e98f9
02fa60b8-9202-4822-aa21-887364adf901,26,1.0,United States of America,Tennessee,United States of America,Tennessee,Back-end Developer/Front-end Developer,Sometimes,0,26-100,0.0,1.0,02fa60b8-9202-4822-aa21-887364adf901
19ee6856-d263-4bcd-a877-897103459175,41,0.0,United States of America,Minnesota,United States of America,Minnesota,Front-end Developer,Sometimes,0,26-100,1.0,,19ee6856-d263-4bcd-a877-897103459175
5cce91b9-664e-49f1-8dfb-1a7627a78f49,39,0.0,United States of America,District of Columbia,United States of America,District of Columbia,Back-end Developer,Sometimes,0,100-500,1.0,,5cce91b9-664e-49f1-8dfb-1a7627a78f49
426a9453-27da-42f5-83c8-c7b0832bb195,43,1.0,United States of America,Tennessee,United States of America,Tennessee,DevOps/SysAdmin/Back-end Developer,Sometimes,0,6-25,1.0,,426a9453-27da-42f5-83c8-c7b0832bb195
aa183c54-3d90-4133-b5e8-7efe1b8b693c,30,1.0,United Kingdom,,United Kingdom,,Supervisor/Team Lead/Back-end Developer/DevOps/SysAdmin/Dev Evangelist/Advocate,Sometimes,0,500-1000,1.0,,aa183c54-3d90-4133-b5e8-7efe1b8b693c
9f697282-4aac-46fe-9eed-3afa6be93d76,24,0.0,United States of America,Illinois,United States of America,Illinois,Designer,Sometimes,0,26-100,1.0,,9f697282-4aac-46fe-9eed-3afa6be93d76
0c8fae7d-e95c-47d9-9a40-64142f88be6e,30,1.0,Netherlands,,Netherlands,,One-person shop/Back-end Developer/DevOps/SysAdmin,Sometimes,1,,,,0c8fae7d-e95c-47d9-9a40-64142f88be6e
d654c030-551c-4aa4-8074-16455fa7db17,28,0.0,Germany,,Germany,,Back-end Developer/Front-end Developer,Sometimes,0,26-100,0.0,1.0,d654c030-551c-4aa4-8074-16455fa7db17
c2f3ca4f-9ff2-4f71-8f94-1f27b60b82bc,48,0.0,United States of America,Washington,United States of America,Washington,One-person shop/Designer/Front-end Developer/Support,Sometimes,1,,,,c2f3ca4f-9ff2-4f71-8f94-1f27b60b82bc
b7661304-dd29-4072-a306-d860cc5786c7,55,0.0,United States of America,Nevada,United States of America,Nevada,One-person shop/Front-end Developer/Back-end Developer/DevOps/SysAdmin,Always,1,,,,b7661304-dd29-4072-a306-d860cc5786c7
53c0256a-5c23-43ab-aeac-9aa2a2f39e04,36,0.0,United States of America,Indiana,United States of America,Indiana,Other,Sometimes,0,1-5,0.0,1.0,53c0256a-5c23-43ab-aeac-9aa2a2f39e04
